freq_hz,magnitude
2.773361782663709008e+01,2.179429559655576387e+00
2.783092876637967805e+01,1.253939174382271649e+00
2.792823970612226248e+01,2.822589746841252190e+00
2.802555064586485045e+01,1.697126479049309911e+00
2.812286158560743488e+01,2.832857576003581901e+00
2.822017252535002285e+01,3.717077426886721270e+00
2.831748346509260728e+01,1.547720496603366191e+00
2.841479440483519525e+01,3.113244494983591792e+00
2.851210534457777968e+01,1.971470741343466448e+00
2.860941628432036765e+01,2.195382209187590750e+00
2.870672722406295208e+01,2.439842972801633536e+00
2.880403816380554005e+01,8.386193264646903955e-01
2.890134910354812448e+01,2.631827881388581147e+00
2.899866004329071245e+01,1.292543443219190680e+00
2.909597098303330043e+01,5.771439541226349723e-01
2.919328192277588485e+01,4.724171535047407833e-01
2.929059286251847283e+01,1.347239602406073322e+00
2.938790380226105725e+01,1.636992820324074005e+00
2.948521474200364523e+01,1.552968745287371721e+00
2.958252568174622965e+01,1.323316699272914176e+00
2.967983662148881763e+01,1.234772038527932159e+00
2.977714756123140205e+01,7.887602354079882305e-01
2.987445850097399003e+01,4.489242271827442177e-01
2.997176944071657445e+01,5.162179671649853585e-01
3.006908038045916243e+01,1.137124708261773032e+00
3.016639132020174685e+01,1.249110160068513276e+00
3.026370225994433483e+01,8.861457277086309814e-01
3.036101319968691925e+01,2.726472797753095367e+00
3.045832413942950723e+01,3.519076120140409270e+00
3.055563507917209165e+01,6.074728834003408906e-01
3.065294601891467963e+01,4.289504921802246962e+00
3.075025695865726405e+01,3.745854158332622585e+00
3.084756789839985203e+01,3.468243135454927462e+00
3.094487883814243645e+01,3.711325169966620319e+00
3.104218977788502443e+01,3.690854219321474616e+00
3.113950071762761240e+01,5.397384971455307046e+00
3.123681165737019683e+01,4.029423076300090223e+00
3.133412259711278480e+01,2.097417954957390585e+00
3.143143353685536923e+01,5.452402765472013080e+00
3.152874447659795720e+01,4.246815283963058185e+00
3.162605541634054163e+01,1.693779193356475865e+00
3.172336635608312960e+01,2.708809726778908189e+00
3.182067729582571403e+01,3.538206709133505878e+00
3.191798823556830200e+01,1.688929301663024019e+00
3.201529917531088643e+01,8.648555149788799135e-01
3.211261011505347085e+01,1.420372522596748066e+00
3.220992105479606238e+01,1.732533930858018323e+00
3.230723199453864680e+01,1.005624073074886882e+00
3.240454293428123123e+01,2.025769396502018260e+00
3.250185387402381565e+01,2.334613644717396852e+00
