time_s,activity
1.664466999999999919e+00,0.000000000000000000e+00
1.671268999999999894e+00,0.000000000000000000e+00
1.678115999999999941e+00,1.000000000000000000e+00
1.684909999999999908e+00,0.000000000000000000e+00
1.691679999999999851e+00,0.000000000000000000e+00
1.698490999999999973e+00,1.000000000000000000e+00
1.705292999999999948e+00,0.000000000000000000e+00
1.712131999999999987e+00,0.000000000000000000e+00
1.718964999999999854e+00,1.000000000000000000e+00
1.725773999999999919e+00,0.000000000000000000e+00
1.732574999999999976e+00,0.000000000000000000e+00
1.739434999999999842e+00,1.000000000000000000e+00
1.746260999999999841e+00,0.000000000000000000e+00
1.753118999999999872e+00,0.000000000000000000e+00
1.759866999999999848e+00,0.000000000000000000e+00
1.766616999999999882e+00,0.000000000000000000e+00
1.773437999999999848e+00,0.000000000000000000e+00
1.780230999999999897e+00,0.000000000000000000e+00
1.787045999999999912e+00,0.000000000000000000e+00
1.793820999999999888e+00,0.000000000000000000e+00
1.800654999999999895e+00,0.000000000000000000e+00
1.807475999999999861e+00,0.000000000000000000e+00
1.814276999999999918e+00,0.000000000000000000e+00
1.821074999999999999e+00,0.000000000000000000e+00
1.827865999999999991e+00,0.000000000000000000e+00
1.834662000000000015e+00,0.000000000000000000e+00
1.841467999999999883e+00,0.000000000000000000e+00
1.848325999999999913e+00,0.000000000000000000e+00
1.855164999999999953e+00,0.000000000000000000e+00
1.861905999999999839e+00,0.000000000000000000e+00
1.868663999999999881e+00,0.000000000000000000e+00
1.875475000000000003e+00,0.000000000000000000e+00
1.882303999999999977e+00,0.000000000000000000e+00
1.889155999999999835e+00,0.000000000000000000e+00
1.896008999999999833e+00,0.000000000000000000e+00
1.902818999999999816e+00,0.000000000000000000e+00
1.909594000000000014e+00,0.000000000000000000e+00
1.916388999999999898e+00,0.000000000000000000e+00
1.923167999999999989e+00,0.000000000000000000e+00
1.929980999999999947e+00,0.000000000000000000e+00
1.936810999999999838e+00,0.000000000000000000e+00
1.943612999999999813e+00,0.000000000000000000e+00
1.950453999999999910e+00,0.000000000000000000e+00
1.957247999999999877e+00,0.000000000000000000e+00
1.964015999999999984e+00,0.000000000000000000e+00
1.970839999999999925e+00,0.000000000000000000e+00
1.977605999999999975e+00,0.000000000000000000e+00
1.984451999999999883e+00,0.000000000000000000e+00
1.991258999999999890e+00,0.000000000000000000e+00
1.998008000000000006e+00,0.000000000000000000e+00
2.004809999999999981e+00,0.000000000000000000e+00
2.011635999999999758e+00,0.000000000000000000e+00
2.018337999999999965e+00,0.000000000000000000e+00
2.025136999999999965e+00,0.000000000000000000e+00
2.031960999999999906e+00,0.000000000000000000e+00
2.038783000000000012e+00,0.000000000000000000e+00
2.045547000000000004e+00,0.000000000000000000e+00
2.052381999999999707e+00,0.000000000000000000e+00
2.059136999999999773e+00,0.000000000000000000e+00
2.065936999999999912e+00,0.000000000000000000e+00
2.072721999999999731e+00,0.000000000000000000e+00
2.079527999999999821e+00,0.000000000000000000e+00
2.086287000000000003e+00,0.000000000000000000e+00
2.093090000000000117e+00,0.000000000000000000e+00
2.099870000000000125e+00,0.000000000000000000e+00
2.106667999999999985e+00,0.000000000000000000e+00
2.113436000000000092e+00,0.000000000000000000e+00
2.120257999999999754e+00,0.000000000000000000e+00
2.127097000000000016e+00,0.000000000000000000e+00
2.133913999999999866e+00,0.000000000000000000e+00
2.140696999999999850e+00,0.000000000000000000e+00
2.147510000000000030e+00,0.000000000000000000e+00
2.154288999999999898e+00,0.000000000000000000e+00
2.161116999999999955e+00,0.000000000000000000e+00
2.167888999999999733e+00,0.000000000000000000e+00
2.174709000000000003e+00,0.000000000000000000e+00
2.181515999999999789e+00,0.000000000000000000e+00
2.188283999999999896e+00,0.000000000000000000e+00
2.195052999999999699e+00,0.000000000000000000e+00
2.201902000000000026e+00,0.000000000000000000e+00
2.208650000000000002e+00,0.000000000000000000e+00
2.215468999999999689e+00,0.000000000000000000e+00
2.222341999999999818e+00,0.000000000000000000e+00
2.229131999999999891e+00,0.000000000000000000e+00
2.235939999999999817e+00,0.000000000000000000e+00
2.242770999999999848e+00,0.000000000000000000e+00
2.249624999999999986e+00,0.000000000000000000e+00
2.256441999999999837e+00,0.000000000000000000e+00
2.263208999999999804e+00,0.000000000000000000e+00
2.270055999999999852e+00,0.000000000000000000e+00
2.276943999999999857e+00,0.000000000000000000e+00
2.283745999999999832e+00,0.000000000000000000e+00
2.290534999999999766e+00,0.000000000000000000e+00
2.297375999999999863e+00,0.000000000000000000e+00
2.304251999999999967e+00,0.000000000000000000e+00
2.311029000000000000e+00,0.000000000000000000e+00
2.317873999999999768e+00,0.000000000000000000e+00
2.324746999999999897e+00,0.000000000000000000e+00
2.331542999999999921e+00,0.000000000000000000e+00
2.338335999999999970e+00,0.000000000000000000e+00
2.345150999999999986e+00,0.000000000000000000e+00
2.351963000000000026e+00,0.000000000000000000e+00
2.358763999999999861e+00,0.000000000000000000e+00
2.365504000000000051e+00,0.000000000000000000e+00
2.372292999999999985e+00,0.000000000000000000e+00
2.379124999999999712e+00,0.000000000000000000e+00
2.385928999999999967e+00,0.000000000000000000e+00
2.392729000000000106e+00,0.000000000000000000e+00
2.399572999999999734e+00,0.000000000000000000e+00
2.406381999999999799e+00,0.000000000000000000e+00
2.413192999999999699e+00,0.000000000000000000e+00
2.419966999999999757e+00,0.000000000000000000e+00
2.426781000000000077e+00,0.000000000000000000e+00
2.433618000000000059e+00,0.000000000000000000e+00
2.440395000000000092e+00,0.000000000000000000e+00
2.447181999999999746e+00,0.000000000000000000e+00
2.454040999999999695e+00,0.000000000000000000e+00
2.460830999999999769e+00,0.000000000000000000e+00
2.467664999999999775e+00,0.000000000000000000e+00
2.474383999999999695e+00,0.000000000000000000e+00
2.481205999999999801e+00,0.000000000000000000e+00
2.487975999999999743e+00,0.000000000000000000e+00
2.494796999999999709e+00,0.000000000000000000e+00
2.501577999999999857e+00,0.000000000000000000e+00
2.508382999999999807e+00,0.000000000000000000e+00
2.515207999999999888e+00,0.000000000000000000e+00
2.522014999999999674e+00,0.000000000000000000e+00
2.528821999999999903e+00,0.000000000000000000e+00
2.535597999999999796e+00,0.000000000000000000e+00
2.542428999999999828e+00,0.000000000000000000e+00
2.549271999999999760e+00,0.000000000000000000e+00
2.556194999999999773e+00,0.000000000000000000e+00
2.563073999999999852e+00,0.000000000000000000e+00
2.569855000000000000e+00,0.000000000000000000e+00
2.576640999999999959e+00,0.000000000000000000e+00
2.583437999999999679e+00,0.000000000000000000e+00
2.590249000000000024e+00,0.000000000000000000e+00
2.597124999999999684e+00,0.000000000000000000e+00
2.603895000000000071e+00,0.000000000000000000e+00
2.610684999999999700e+00,0.000000000000000000e+00
2.617516999999999872e+00,0.000000000000000000e+00
2.624371999999999705e+00,0.000000000000000000e+00
2.631184999999999885e+00,0.000000000000000000e+00
2.638071000000000055e+00,0.000000000000000000e+00
2.644873000000000030e+00,0.000000000000000000e+00
2.651713999999999682e+00,0.000000000000000000e+00
2.658525999999999723e+00,0.000000000000000000e+00
2.665297999999999945e+00,0.000000000000000000e+00
2.672162999999999844e+00,0.000000000000000000e+00
2.678954000000000057e+00,0.000000000000000000e+00
2.685748999999999942e+00,0.000000000000000000e+00
2.692581999999999809e+00,0.000000000000000000e+00
2.699415999999999816e+00,0.000000000000000000e+00
2.706258999999999748e+00,0.000000000000000000e+00
2.713081999999999994e+00,0.000000000000000000e+00
2.719827999999999690e+00,0.000000000000000000e+00
2.726583999999999897e+00,0.000000000000000000e+00
2.733378000000000085e+00,0.000000000000000000e+00
2.740101999999999816e+00,0.000000000000000000e+00
2.746918999999999667e+00,0.000000000000000000e+00
2.753746999999999723e+00,0.000000000000000000e+00
2.760607999999999951e+00,0.000000000000000000e+00
2.767405999999999811e+00,0.000000000000000000e+00
2.774226999999999776e+00,0.000000000000000000e+00
2.781031999999999726e+00,0.000000000000000000e+00
2.787852999999999692e+00,0.000000000000000000e+00
2.794588000000000072e+00,0.000000000000000000e+00
2.801374000000000031e+00,0.000000000000000000e+00
2.808211000000000013e+00,0.000000000000000000e+00
2.815001999999999782e+00,0.000000000000000000e+00
2.821804999999999897e+00,0.000000000000000000e+00
2.828551000000000037e+00,0.000000000000000000e+00
2.835372000000000003e+00,0.000000000000000000e+00
2.842192999999999969e+00,0.000000000000000000e+00
2.849029999999999951e+00,0.000000000000000000e+00
2.855893000000000015e+00,0.000000000000000000e+00
2.862711000000000006e+00,0.000000000000000000e+00
2.869536000000000087e+00,0.000000000000000000e+00
2.876363999999999699e+00,0.000000000000000000e+00
2.883213000000000026e+00,0.000000000000000000e+00
2.890010999999999886e+00,0.000000000000000000e+00
2.896783999999999804e+00,0.000000000000000000e+00
2.903577999999999992e+00,0.000000000000000000e+00
2.910422000000000065e+00,0.000000000000000000e+00
2.917141999999999680e+00,0.000000000000000000e+00
2.923986999999999892e+00,0.000000000000000000e+00
2.930839999999999890e+00,0.000000000000000000e+00
2.937710999999999739e+00,0.000000000000000000e+00
2.944462999999999830e+00,0.000000000000000000e+00
2.951330999999999705e+00,0.000000000000000000e+00
2.958183000000000007e+00,0.000000000000000000e+00
2.964969999999999661e+00,0.000000000000000000e+00
2.971899000000000068e+00,0.000000000000000000e+00
2.978688999999999698e+00,0.000000000000000000e+00
2.985519999999999730e+00,0.000000000000000000e+00
2.992334000000000049e+00,0.000000000000000000e+00
2.999187999999999743e+00,0.000000000000000000e+00
3.006084999999999674e+00,0.000000000000000000e+00
3.012861000000000011e+00,0.000000000000000000e+00
3.019638000000000044e+00,0.000000000000000000e+00
3.026486999999999927e+00,0.000000000000000000e+00
3.033363999999999727e+00,0.000000000000000000e+00
3.040238999999999692e+00,0.000000000000000000e+00
3.047070999999999863e+00,0.000000000000000000e+00
3.053890999999999689e+00,0.000000000000000000e+00
3.060794999999999710e+00,0.000000000000000000e+00
3.067660000000000053e+00,0.000000000000000000e+00
3.074463999999999864e+00,0.000000000000000000e+00
3.081277999999999739e+00,0.000000000000000000e+00
3.088131999999999877e+00,0.000000000000000000e+00
3.095003999999999866e+00,0.000000000000000000e+00
3.101809999999999956e+00,0.000000000000000000e+00
3.108611999999999931e+00,0.000000000000000000e+00
3.115364000000000022e+00,0.000000000000000000e+00
3.122160000000000046e+00,0.000000000000000000e+00
3.128987999999999658e+00,0.000000000000000000e+00
3.135828999999999755e+00,0.000000000000000000e+00
3.142668999999999713e+00,0.000000000000000000e+00
3.149469999999999992e+00,0.000000000000000000e+00
3.156285999999999703e+00,0.000000000000000000e+00
3.163129999999999775e+00,0.000000000000000000e+00
3.169929999999999914e+00,0.000000000000000000e+00
3.176683999999999841e+00,0.000000000000000000e+00
3.183470999999999940e+00,0.000000000000000000e+00
3.190229999999999677e+00,0.000000000000000000e+00
3.196993999999999669e+00,0.000000000000000000e+00
3.203830999999999651e+00,0.000000000000000000e+00
3.210687000000000069e+00,0.000000000000000000e+00
3.217468999999999912e+00,0.000000000000000000e+00
3.224235999999999880e+00,0.000000000000000000e+00
3.231106999999999729e+00,0.000000000000000000e+00
3.237931999999999810e+00,0.000000000000000000e+00
3.244791999999999899e+00,0.000000000000000000e+00
3.251586999999999783e+00,0.000000000000000000e+00
3.258448999999999707e+00,0.000000000000000000e+00
3.265305999999999820e+00,0.000000000000000000e+00
3.272186999999999735e+00,0.000000000000000000e+00
3.279029999999999667e+00,0.000000000000000000e+00
3.285884999999999945e+00,0.000000000000000000e+00
3.292684999999999640e+00,0.000000000000000000e+00
3.299552999999999958e+00,0.000000000000000000e+00
3.306391999999999776e+00,0.000000000000000000e+00
3.313209000000000071e+00,0.000000000000000000e+00
3.320071999999999690e+00,0.000000000000000000e+00
3.326934999999999754e+00,0.000000000000000000e+00
3.333834999999999660e+00,0.000000000000000000e+00
3.340656000000000070e+00,0.000000000000000000e+00
3.347420000000000062e+00,0.000000000000000000e+00
3.354234999999999634e+00,0.000000000000000000e+00
3.361046999999999674e+00,0.000000000000000000e+00
3.367866999999999944e+00,0.000000000000000000e+00
3.374684999999999935e+00,0.000000000000000000e+00
3.381543999999999883e+00,0.000000000000000000e+00
3.388409999999999922e+00,0.000000000000000000e+00
3.395219999999999683e+00,0.000000000000000000e+00
3.402032999999999863e+00,0.000000000000000000e+00
3.408906999999999687e+00,0.000000000000000000e+00
3.415653999999999968e+00,0.000000000000000000e+00
3.422447000000000017e+00,0.000000000000000000e+00
3.429276999999999909e+00,0.000000000000000000e+00
3.436119999999999841e+00,0.000000000000000000e+00
3.442975999999999814e+00,0.000000000000000000e+00
3.449772999999999978e+00,0.000000000000000000e+00
3.456510999999999889e+00,0.000000000000000000e+00
3.463282999999999667e+00,0.000000000000000000e+00
3.470193999999999779e+00,0.000000000000000000e+00
3.477053999999999867e+00,0.000000000000000000e+00
3.483880999999999784e+00,0.000000000000000000e+00
3.490731999999999946e+00,0.000000000000000000e+00
3.497514999999999930e+00,0.000000000000000000e+00
3.504318000000000044e+00,0.000000000000000000e+00
3.511112999999999928e+00,0.000000000000000000e+00
3.518002999999999769e+00,0.000000000000000000e+00
3.524818999999999924e+00,0.000000000000000000e+00
3.531623999999999874e+00,0.000000000000000000e+00
3.538462999999999692e+00,0.000000000000000000e+00
3.545286999999999633e+00,0.000000000000000000e+00
3.552086999999999772e+00,0.000000000000000000e+00
3.558873999999999871e+00,0.000000000000000000e+00
3.565677999999999681e+00,0.000000000000000000e+00
3.572468999999999895e+00,0.000000000000000000e+00
3.579316999999999638e+00,0.000000000000000000e+00
3.586125000000000007e+00,0.000000000000000000e+00
3.592999999999999972e+00,0.000000000000000000e+00
3.599813999999999847e+00,0.000000000000000000e+00
3.606654999999999944e+00,0.000000000000000000e+00
3.613483000000000001e+00,0.000000000000000000e+00
3.620349000000000039e+00,0.000000000000000000e+00
3.627136999999999833e+00,0.000000000000000000e+00
3.633932999999999858e+00,0.000000000000000000e+00
3.640736999999999668e+00,0.000000000000000000e+00
3.647581999999999880e+00,0.000000000000000000e+00
3.654461999999999655e+00,0.000000000000000000e+00
3.661308999999999703e+00,0.000000000000000000e+00
3.668074999999999974e+00,0.000000000000000000e+00
3.674951999999999774e+00,0.000000000000000000e+00
3.681826999999999739e+00,0.000000000000000000e+00
3.688675999999999622e+00,0.000000000000000000e+00
3.695443999999999729e+00,0.000000000000000000e+00
3.702290999999999777e+00,0.000000000000000000e+00
3.709152999999999700e+00,0.000000000000000000e+00
3.715974999999999806e+00,0.000000000000000000e+00
3.722798000000000052e+00,0.000000000000000000e+00
3.729570999999999970e+00,0.000000000000000000e+00
3.736370999999999665e+00,0.000000000000000000e+00
3.743150999999999673e+00,0.000000000000000000e+00
3.750001999999999835e+00,0.000000000000000000e+00
3.756807999999999925e+00,0.000000000000000000e+00
3.763626999999999612e+00,0.000000000000000000e+00
3.770380999999999982e+00,0.000000000000000000e+00
3.777232999999999841e+00,0.000000000000000000e+00
3.784132999999999747e+00,0.000000000000000000e+00
3.790982999999999770e+00,0.000000000000000000e+00
3.797841000000000022e+00,0.000000000000000000e+00
3.804588999999999999e+00,0.000000000000000000e+00
3.811404999999999710e+00,0.000000000000000000e+00
3.818219999999999725e+00,0.000000000000000000e+00
3.825072000000000028e+00,0.000000000000000000e+00
3.831909000000000010e+00,0.000000000000000000e+00
3.838743000000000016e+00,0.000000000000000000e+00
3.845542999999999711e+00,0.000000000000000000e+00
3.852440999999999782e+00,0.000000000000000000e+00
3.859239999999999782e+00,0.000000000000000000e+00
3.866099999999999870e+00,0.000000000000000000e+00
3.872941999999999663e+00,0.000000000000000000e+00
3.879780999999999924e+00,0.000000000000000000e+00
3.886634999999999618e+00,0.000000000000000000e+00
3.893489999999999895e+00,0.000000000000000000e+00
3.900285999999999920e+00,0.000000000000000000e+00
3.907146000000000008e+00,0.000000000000000000e+00
3.913999000000000006e+00,0.000000000000000000e+00
3.920834999999999848e+00,0.000000000000000000e+00
3.927643999999999913e+00,1.000000000000000000e+00
3.934429999999999872e+00,0.000000000000000000e+00
3.941303999999999697e+00,0.000000000000000000e+00
3.948146999999999629e+00,1.000000000000000000e+00
3.955020999999999898e+00,0.000000000000000000e+00
3.961798999999999626e+00,0.000000000000000000e+00
3.968701999999999952e+00,0.000000000000000000e+00
3.975448999999999788e+00,0.000000000000000000e+00
3.982322999999999613e+00,0.000000000000000000e+00
3.989154999999999784e+00,0.000000000000000000e+00
3.996001999999999832e+00,0.000000000000000000e+00
4.002845999999999904e+00,0.000000000000000000e+00
4.009699999999999598e+00,0.000000000000000000e+00
4.016522999999999399e+00,0.000000000000000000e+00
4.023362999999999801e+00,0.000000000000000000e+00
4.030210999999999544e+00,0.000000000000000000e+00
4.037044999999999995e+00,0.000000000000000000e+00
4.043884000000000256e+00,0.000000000000000000e+00
4.050721000000000238e+00,0.000000000000000000e+00
4.057534999999999670e+00,1.000000000000000000e+00
4.064413000000000054e+00,0.000000000000000000e+00
4.071302000000000199e+00,0.000000000000000000e+00
4.078104999999999869e+00,1.000000000000000000e+00
4.084913999999999490e+00,0.000000000000000000e+00
4.091758999999999702e+00,0.000000000000000000e+00
4.098544999999999661e+00,0.000000000000000000e+00
4.105360999999999372e+00,0.000000000000000000e+00
4.112242000000000175e+00,0.000000000000000000e+00
4.119028999999999385e+00,0.000000000000000000e+00
4.125885999999999498e+00,0.000000000000000000e+00
4.132691999999999588e+00,0.000000000000000000e+00
4.139531999999999989e+00,0.000000000000000000e+00
4.146357000000000070e+00,0.000000000000000000e+00
4.153151999999999511e+00,0.000000000000000000e+00
4.159990999999999772e+00,0.000000000000000000e+00
4.166854999999999976e+00,0.000000000000000000e+00
4.173690999999999818e+00,0.000000000000000000e+00
4.180463999999999736e+00,0.000000000000000000e+00
4.187307999999999808e+00,0.000000000000000000e+00
4.194223000000000035e+00,0.000000000000000000e+00
4.201037999999999606e+00,0.000000000000000000e+00
4.207924999999999471e+00,0.000000000000000000e+00
4.214775999999999634e+00,0.000000000000000000e+00
4.221620999999999846e+00,0.000000000000000000e+00
4.228462999999999639e+00,0.000000000000000000e+00
4.235275999999999819e+00,0.000000000000000000e+00
4.242122000000000170e+00,0.000000000000000000e+00
