freq_hz,magnitude
5.922039953996008421e+01,5.238046463646571738e+02
5.935560593160382581e+01,1.175317462489327227e+03
5.949081232324757451e+01,1.250574955859120792e+03
5.962601871489131611e+01,1.957453359169363921e+03
5.976122510653506481e+01,2.244335989050198350e+03
5.989643149817880641e+01,2.402598134604483676e+03
6.003163788982254800e+01,1.860184093241063692e+03
6.016684428146629671e+01,4.316528590905963370e+02
6.030205067311003830e+01,1.121079160680754285e+03
6.043725706475378701e+01,9.562964107683354769e+02
6.057246345639752860e+01,2.054370019279617281e+03
6.070766984804127020e+01,1.839376481791247443e+03
6.084287623968501890e+01,2.298032061945456007e+03
6.097808263132876050e+01,1.666033232276126910e+03
6.111328902297250920e+01,6.876272692938729278e+02
6.124849541461625080e+01,3.013868219874666465e+02
6.138370180625999240e+01,4.824721511897096207e+02
6.151890819790374110e+01,4.081001387520987578e+02
6.165411458954748269e+01,3.353442229217102977e+02
6.178932098119123140e+01,3.809083555271062664e+02
6.192452737283497299e+01,8.508674039168270156e+02
6.205973376447871459e+01,2.794586514978988134e+02
6.219494015612246329e+01,4.354513601411449599e+02
6.233014654776620489e+01,1.319077406543475206e+02
6.246535293940995359e+01,1.745469517428556685e+02
6.260055933105369519e+01,4.905205702488460133e+02
6.273576572269743679e+01,2.860678373187658963e+02
6.287097211434118549e+01,3.209688754226538094e+02
6.300617850598492709e+01,5.180752808941296053e+02
6.314138489762867579e+01,3.955122819553341742e+02
6.327659128927241738e+01,2.208534146348461604e+02
6.341179768091616609e+01,1.748368587908018128e+02
6.354700407255990768e+01,2.609832483700217836e+02
6.368221046420364928e+01,4.981044072772562004e+02
6.381741685584739798e+01,2.198862176889645639e+02
6.395262324749113958e+01,8.752806344448922005e+01
6.408782963913488118e+01,1.694796109330652030e+02
6.422303603077862988e+01,6.427310214104682018e+02
6.435824242242237858e+01,4.175069622845517756e+02
6.449344881406611307e+01,2.854853560079878889e+02
6.462865520570986178e+01,3.169484505623734094e+02
6.476386159735361048e+01,2.402828988610253873e+02
6.489906798899735918e+01,3.748961544783828685e+02
6.503427438064109367e+01,6.085317434732016864e+02
6.516948077228484237e+01,3.289422613501720889e+02
6.530468716392859108e+01,3.814695030499236736e+02
6.543989355557232557e+01,6.830059314417095493e+02
6.557509994721607427e+01,4.667192189992340445e+02
6.571030633885982297e+01,5.351383728166599667e+02
6.584551273050355746e+01,4.425264261186009094e+02
6.598071912214730617e+01,3.279963867512915954e+02
6.611592551379105487e+01,2.717201676757979953e+02
6.625113190543480357e+01,1.632599118818123429e+02
6.638633829707853806e+01,2.177960419502638558e+02
6.652154468872228676e+01,2.329427433255972630e+02
6.665675108036603547e+01,1.657104963245143097e+02
6.679195747200976996e+01,1.472566667935356293e+02
