frame,fps,on_events,off_events
915,52.9,2123,2091
916,52.9,1988,2067
917,52.9,2212,1777
918,52.9,1966,2141
919,52.9,1851,2378
920,52.9,2097,1804
921,52.9,2177,2064
922,52.9,2182,2340
923,52.9,1886,2098
924,52.9,2128,2134
925,52.9,2101,2075
926,52.9,1899,2274
927,52.9,2225,2082
928,52.9,2013,2524
929,52.9,1943,2115
930,52.9,2033,2228
931,52.9,2046,2149
932,52.9,1968,2244
933,52.9,2110,2077
934,52.9,1916,2271
935,52.9,2194,1778
936,52.9,2032,2053
937,52.9,1808,2210
938,52.9,2068,2098
939,52.9,2052,1854
940,52.9,2112,1898
941,52.9,2042,2172
942,52.9,1926,2007
943,52.9,1735,2434
944,52.9,2070,2054
945,52.9,2184,2039
946,52.9,2082,2189
947,52.9,2154,2288
948,52.9,2403,2017
949,52.9,2003,2379
950,52.9,2026,2150
951,52.9,2195,2206
952,52.9,2169,2388
953,52.9,2268,2518
954,52.9,2174,2464
955,52.9,2506,2761
956,52.9,2560,2166
957,52.9,2260,2707
958,52.9,2416,2258
959,52.9,2346,2275
960,52.9,2400,2698
961,52.9,2340,2714
962,52.9,2485,2323
963,52.9,2203,2717
964,52.9,2606,2442
965,52.9,2410,2505
966,52.9,2438,2763
967,52.9,2477,2426
968,52.9,2672,2460
969,52.9,2302,2693
970,52.9,2381,2260
971,52.9,2394,2517
972,52.9,2538,2333
973,52.9,2376,2341
974,52.9,2486,2534
975,52.9,2316,2655
976,52.9,2465,2429
977,52.9,2364,2366
978,52.9,2379,2283
979,52.9,2366,2659
980,52.9,2427,2039
981,52.9,2044,2228
982,52.9,2289,2481
983,52.9,2281,2313
984,52.9,2356,2146
985,52.9,2146,2227
986,52.9,2250,2396
987,52.9,2390,2199
988,52.9,2213,2076
989,52.9,2125,2210
990,52.9,2207,2356
991,52.9,2190,2059
992,52.9,2045,2427
993,52.9,2333,2214
994,52.9,2065,2501
995,52.9,2424,2010
996,52.9,2088,2656
997,52.9,2288,2295
998,52.9,2124,2516
999,52.9,2430,2133
